titulo,descripcion,categoria
La coalición ELA insta a la UE a suspender el acuerdo comercial con Israel,"Bruselas, 13 ene (EFE).- La coalición Alianza de Izquierda Europea por los Pueblos y el Planeta (ELA...",Internacional
Las autoridades iraníes elevan a 2.000 los muertos durante las protestas,Las cifras sobre las víctimas mortales son dispares y hay organizaciones de derechos humanos que ya hablan de 6.000,Internacional
El éxito de Ucrania en Kúpiansk refuerza su posición ante la presión de EE.UU.,"Kúpiansk (Ucrania), 13 ene (EFE).- Las tropas ucranianas siguen ganando terreno dentro de la ciudad ...",Internacional
Protestan en Roma frente a la Embajada de Irán contra la represión y en apoyo a las movilizaciones,"Roma, 13 ene (EFE).- El Gobierno italiano ha instado este martes a las autoridades iraníes a respeta...",Internacional
Manifestantes se concentran en Roma para denunciar la violencia contra las protestas en Irán,"Roma, 13 ene (EFE).- El Gobierno italiano ha instado este martes a las autoridades iraníes a respeta...",Internacional
"Trump cancela diálogo con Irán y dice a los manifestantes que la ""ayuda está en camino""","Washington, 13 ene (EFE).- El presidente estadounidense, Donald Trump, anunció este martes la cancel...",Internacional
Tractorada en París para pedir ayudas urgentes y que no se formalice el pacto con Mercosur,"París, 13 ene (EFE/EPA).- El principal sindicato de agricultores franceses, que llevó este martes su...",Internacional
Machado y Urrutia denuncian incumplimiento del anuncio de liberación de detenidos en Venezuela,"Redacción internacional, 13 dic (EFE).- Los líderes opositores venezolanos María Corina Machado y Ed...",Internacional
Unos 350 tractores protestan en París contra el pacto UE-Mercosur,"París, 13 ene (EFE/EPA).- El principal sindicato de agricultores franceses, que llevó este martes su...",Internacional
Estados Unidos refuerza su presencia militar en Qatar con una nueva célula de coordinación aérea,El objetivo del CENTCOM es mejorar y optimizar los sistemas de defensa de la región en el contexto de aumento de tensión que se está sufriendo,Internacional
Unicef denuncia que al menos 100 niños han muerto en Gaza desde el inicio de la tregua,"James Elder, portavoz de Naciones Unidas para la Infancia, ha calificado el alto el fuego como «un avance» por frenar bombas pero «insuficiente» por seguir «enterrando niños»",Internacional
Un 70 % de Kiev está sin electricidad tras el último ataque ruso al sistema energético,"Kiev, 13 ene (EFE).- Un 70 % de Kiev se quedó este martes sin electricidad debido a los daños causad...",Internacional
El 70 % de Kiev queda sin electricidad debido a los daños causados por Rusia a la infraestructura eléctrica del país,"Kiev, 13 ene (EFE).- Un 70 % de Kiev se quedó este martes sin electricidad debido a los daños causad...",Internacional
Rusia deja sin luz al 70 % de Kiev tras un ataque masivo contra la red eléctrica ucraniana,"Kiev, 13 ene (EFE).- Un 70 % de Kiev se quedó este martes sin electricidad debido a los daños causad...",Internacional
Ataque ruso a una terminal postal en Járkov deja al menos cuatro muertos,"Járkov (Ucrania), 13 ene (EFE/EPA).- Al menos cuatro personas murieron y seis resultaron heridas tra...",Internacional
Al menos cuatro muertos tras un ataque ruso a una terminal postal en Járkov,"Járkov (Ucrania), 13 ene (EFE/EPA).- Al menos cuatro personas murieron y seis resultaron heridas tra...",Internacional
