titulo,descripcion,categoria,texto_completo,texto_limpio
Mercosur advierte de que las salvaguardas para proteger agricultores «no forman parte» del acuerdo,"El pacto tiene que ser todavía ratificado por el Parlamento, donde Von der Leyen cuenta con una mayoría muy endeble",Economia,"Mercosur advierte de que las salvaguardas para proteger agricultores «no forman parte» del acuerdo El pacto tiene que ser todavía ratificado por el Parlamento, donde Von der Leyen cuenta con una mayoría muy endeble",mercosur advierte salvaguardas proteger agricultores forman acuerdo pacto tiene todavia ratificado parlamento von der leyen cuenta mayoria endeble
La Justicia belga retiene 482 millones a la empresa pública Enaire por los impagos de España a empresas de renovables,La firma maltesa Opera Fund instó el embargo de esos fondos ante la negativa del Gobierno a pagar la compensación de 29 millones fijada por la Corte de Arbitraje Internacional,Economia,La Justicia belga retiene 482 millones a la empresa pública Enaire por los impagos de España a empresas de renovables La firma maltesa Opera Fund instó el embargo de esos fondos ante la negativa del Gobierno a pagar la compensación de 29 millones fijada por la Corte de Arbitraje Internacional,justicia belga retiene millones empresa publica enaire impagos espana empresas renovables firma maltesa opera fund insto embargo fondos negativa gobierno pagar compensacion millones fijada corte arbitraje internacional
Huelga de autobuses en Seúl,"Seúl, 13 ene (EFE/EPA).- Los trabajadores del transporte público de Seúl han iniciado una huelga gen...",Economia,"Huelga de autobuses en Seúl Seúl, 13 ene (EFE/EPA).- Los trabajadores del transporte público de Seúl han iniciado una huelga gen...",huelga autobuses seul seul epa trabajadores transporte publico seul iniciado huelga gen
Los conductores de autobús de Seúl inician una huelga general,"Seúl, 13 ene (EFE/EPA).- Los trabajadores del transporte público de Seúl han iniciado una huelga gen...",Economia,"Los conductores de autobús de Seúl inician una huelga general Seúl, 13 ene (EFE/EPA).- Los trabajadores del transporte público de Seúl han iniciado una huelga gen...",conductores autobus seul inician huelga general seul epa trabajadores transporte publico seul iniciado huelga gen
Hacienda utilizará la financiación autonómica para consolidar cesiones a Cataluña,Ofrece a la Generalitat financiar a través del sistema las transferencias de competencias acordadas en ámbitos como los Mossos o Rodalies,Economia,Hacienda utilizará la financiación autonómica para consolidar cesiones a Cataluña Ofrece a la Generalitat financiar a través del sistema las transferencias de competencias acordadas en ámbitos como los Mossos o Rodalies,hacienda utilizara financiacion autonomica consolidar cesiones cataluna ofrece generalitat financiar traves sistema transferencias competencias acordadas ambitos mossos rodalies
De Guindos califica la defensa como una «prioridad existencial» para Europa ante un EE.UU. «menos confiable»,El vicepresidente del BCE insiste en la necesidad de ganar autonomía estratégica en el Viejo Continente,Economia,De Guindos califica la defensa como una «prioridad existencial» para Europa ante un EE.UU. «menos confiable» El vicepresidente del BCE insiste en la necesidad de ganar autonomía estratégica en el Viejo Continente,guindos califica defensa prioridad existencial europa estadosunidos confiable vicepresidente bce insiste necesidad ganar autonomia estrategica viejo continente
"Agricultores acuerdan con Illa ""más dinero y más controles"" para paliar los efectos de Mercosur","Los agricultores catalanes han acordado este lunes con el presidente Salvador Illa ""más dinero y...",Economia,"Agricultores acuerdan con Illa ""más dinero y más controles"" para paliar los efectos de Mercosur Los agricultores catalanes han acordado este lunes con el presidente Salvador Illa ""más dinero y...",agricultores acuerdan illa dinero controles paliar efectos mercosur agricultores catalanes acordado presidente salvador illa dinero
El Gobierno propone incentivos fiscales para congelar los alquileres,"Madrid, 12 ene (EFE).- El presidente del Gobierno, Pedro Sánchez, ha anunciado este lunes un real de...",Economia,"El Gobierno propone incentivos fiscales para congelar los alquileres Madrid, 12 ene (EFE).- El presidente del Gobierno, Pedro Sánchez, ha anunciado este lunes un real de...",gobierno propone incentivos fiscales congelar alquileres madrid presidente gobierno pedro sanchez anunciado real
Iberdrola celebra sus 125 años en 2026 con un amplio programa de actividades dirigido a toda la sociedad española,"BAJO EL LEMA «125 AÑOS LUZ», LA COMPAÑÍA ACERCARÁ SU LEGADO A LA CIUDADANÍA",Economia,"Iberdrola celebra sus 125 años en 2026 con un amplio programa de actividades dirigido a toda la sociedad española BAJO EL LEMA «125 AÑOS LUZ», LA COMPAÑÍA ACERCARÁ SU LEGADO A LA CIUDADANÍA",iberdrola celebra anos amplio programa actividades dirigido toda sociedad espanola lema anos luz compania acercara legado ciudadania
El Gobierno bonificará el 100% del IRPF a los propietarios que no suban la renta y limitará el alquiler de temporada,"El presidente del Ejecutivo, Pedro Sánchez, anuncia un real decreto-ley que también regulará el precio del arrendamiento de habitaciones",Economia,"El Gobierno bonificará el 100% del IRPF a los propietarios que no suban la renta y limitará el alquiler de temporada El presidente del Ejecutivo, Pedro Sánchez, anuncia un real decreto-ley que también regulará el precio del arrendamiento de habitaciones",gobierno bonificara irpf propietarios suban renta limitara alquiler temporada presidente ejecutivo pedro sanchez anuncia real decreto ley tambien regulara precio arrendamiento habitaciones
Todos los expresidentes de la Fed denuncian el intento de Trump de «socavar su independencia»,"El presidente de la Reserva Federal de EE.UU., encargada de la política monetaria del país, está bajo investigación de la Fiscalía, un movimiento que atribuyen a desaveniencias con el magnate",Economia,"Todos los expresidentes de la Fed denuncian el intento de Trump de «socavar su independencia» El presidente de la Reserva Federal de EE.UU., encargada de la política monetaria del país, está bajo investigación de la Fiscalía, un movimiento que atribuyen a desaveniencias con el magnate",todos expresidentes fed denuncian intento trump socavar independencia presidente reserva federal estadosunidos encargada politica monetaria pais investigacion fiscalia movimiento atribuyen desaveniencias magnate
La Bolsa española toca un nuevo máximo histórico de cierre por encima de los 17.670 puntos,"Madrid, 12 ene (EFE).- La Bolsa española ha subido este lunes un 0,14 % y ha alcanzado un nuevo máxi...",Economia,"La Bolsa española toca un nuevo máximo histórico de cierre por encima de los 17.670 puntos Madrid, 12 ene (EFE).- La Bolsa española ha subido este lunes un 0,14 % y ha alcanzado un nuevo máxi...",bolsa espanola toca maximo historico cierre puntos madrid bolsa espanola subido alcanzado maxi
"Vox ve artificial el debate de financiación autonómica y dice que no participará del ""engaño""","Madrid, 12 ene (EFE).- El portavoz de Vox, José Antonio Fúster, ha tildado este lunes de ""artificial...",Economia,"Vox ve artificial el debate de financiación autonómica y dice que no participará del ""engaño"" Madrid, 12 ene (EFE).- El portavoz de Vox, José Antonio Fúster, ha tildado este lunes de ""artificial...",vox ve artificial debate financiacion autonomica participara engano madrid portavoz vox jose antonio fuster tildado artificial
Rueda reitera el apoyo al sector primario ante el acuerdo de Mercosur y reclama medidas a la UE,"El presidente de la Xunta, Alfonso Rueda, ha trasladado que su Ejecutivo ""siempre"" apoyará al...",Economia,"Rueda reitera el apoyo al sector primario ante el acuerdo de Mercosur y reclama medidas a la UE El presidente de la Xunta, Alfonso Rueda, ha trasladado que su Ejecutivo ""siempre"" apoyará al...",rueda reitera apoyo sector primario acuerdo mercosur reclama medidas unioneuropea presidente xunta alfonso rueda trasladado ejecutivo apoyara
"Ahogados por impuestos y cotizaciones y más endeudados, el retrato del autónomo en 2026","IVA franquiciado, no pagar cuotas durante la baja por enfermedad y reducir a dos las declaraciones fiscales al año, están entre sus principales demandas, según el último barómetro de ATA",Economia,"Ahogados por impuestos y cotizaciones y más endeudados, el retrato del autónomo en 2026 IVA franquiciado, no pagar cuotas durante la baja por enfermedad y reducir a dos las declaraciones fiscales al año, están entre sus principales demandas, según el último barómetro de ATA",ahogados impuestos cotizaciones endeudados retrato autonomo iva franquiciado pagar cuotas baja enfermedad reducir declaraciones fiscales ano estan principales demandas segun ultimo barometro ata
Endesa sufre un ciberataque y confirma la extracción de datos de clientes,"Los 'hackers' han tenido acceso a datos de contacto, documentos de identidad y el IBAN de la cuenta bancaria de los clientes de luz y de gas",Economia,"Endesa sufre un ciberataque y confirma la extracción de datos de clientes Los 'hackers' han tenido acceso a datos de contacto, documentos de identidad y el IBAN de la cuenta bancaria de los clientes de luz y de gas",endesa sufre ciberataque confirma extraccion datos clientes hackers tenido acceso datos contacto documentos identidad cuenta bancaria clientes luz gas
Rumanía prepara su red eléctrica ante el frío extremo,"Bucarest, 12 ene (EFE/EPA).- El ministro de Energía, Bogdan Ivan, declaró, tras la reunión del Coman...",Economia,"Rumanía prepara su red eléctrica ante el frío extremo Bucarest, 12 ene (EFE/EPA).- El ministro de Energía, Bogdan Ivan, declaró, tras la reunión del Coman...",rumania prepara red electrica frio extremo bucarest epa ministro energia bogdan ivan declaro reunion coman
El ministro de Energía rumano asegura que han solucionado el problema de suministro eléctrico de 95.000 hogares,"Bucarest, 12 ene (EFE/EPA).- El ministro de Energía, Bogdan Ivan, declaró, tras la reunión del Coman...",Economia,"El ministro de Energía rumano asegura que han solucionado el problema de suministro eléctrico de 95.000 hogares Bucarest, 12 ene (EFE/EPA).- El ministro de Energía, Bogdan Ivan, declaró, tras la reunión del Coman...",ministro energia rumano asegura solucionado problema suministro electrico hogares bucarest epa ministro energia bogdan ivan declaro reunion coman
Fainé renueva cuatro años más al frente de la Fundación 'la Caixa',"La organización reelige como patronos, entre otros, a José María Álvarez-Pallete y Pablo Isla, y da entrada a Baldiri Ros",Economia,"Fainé renueva cuatro años más al frente de la Fundación 'la Caixa' La organización reelige como patronos, entre otros, a José María Álvarez-Pallete y Pablo Isla, y da entrada a Baldiri Ros",faine renueva anos frente fundacion caixa organizacion reelige patronos jose maria alvarez pallete pablo isla da entrada baldiri ros
Van der Veken: «Hay CEOs que entrenan con un gemelo digital de su comité directivo»,"Advierte de que la inteligencia artificial puede fracturar empresas y sociedades si no se gobierna bien. Solo una minoría está capturando valor real: «El problema ya no es tecnológico, es humano»",Economia,"Van der Veken: «Hay CEOs que entrenan con un gemelo digital de su comité directivo» Advierte de que la inteligencia artificial puede fracturar empresas y sociedades si no se gobierna bien. Solo una minoría está capturando valor real: «El problema ya no es tecnológico, es humano»",der veken hay ceos entrenan gemelo digital comite directivo advierte inteligenciaartificial fracturar empresas sociedades gobierna minoria capturando valor real problema tecnologico humano
